ProteinName,Run,HP,LP,log2LP/HP
A0A0R0H2I0,1,357684713.5,500020764.4,0.48329954436236716
A0A0R0H2I0,2,364850787.09999996,387767100.3,0.08788383854455994
A0A0R0H2I0,3,412132847.4,215022481.5,-0.9386219449351659
A0A0R0H2Q4,1,566823599.5,224701730.5,-1.3348885903867067
A0A0R0H2Q4,2,638638609.0,219038401.0,-1.5438159539621277
A0A0R0H2Q4,3,654832582.0,414787067.0,-0.6587551948306642
A0A0R0H3C7,1,1472555005.5,1810138257.5,0.29777836869900004
A0A0R0H3C7,2,1203405609.5,1716099377.5,0.5120101133916561
A0A0R0H3C7,3,1224922084.0,1881546309.0,0.6192288139076114
A0A0R0H4Q2,1,5548794346.0,174639644.5,-4.98972132984676
A0A0R0H4Q2,2,665058472.0,197340246.0,-1.7527959756263567
A0A0R0H4Q2,3,719493824.0,217160170.0,-1.7282227848265734
A0A0R0H535,1,919522595.2,1468478582.9,0.6753652935857791
A0A0R0H535,2,791825379.8,1676920865.97,1.082560394742891
A0A0R0H535,3,880322500.0,1645007443.0,0.9019900646434802
A0A0R0H6W8,1,1089018580.0,50932917.8,-4.418286390754244
A0A0R0H6W8,2,479602632.8,287799924.0,-0.7367733674101136
A0A0R0H6W8,3,1387394732.0,315295061.0,-2.137603835789777
A0A0R0H7E5,1,1431106367.5,1543460683.5,0.10903782883743166
A0A0R0H7E5,2,1111578475.5,1682026458.0,0.5975905954157771
A0A0R0H7E5,3,1655513149.0,1608565225.5,-0.04150403263302767
A0A0R0H8T0,1,848426586.0,533880862.0,-0.6682719956522445
A0A0R0H8T0,2,880654828.0,488301384.0,-0.8508047996593054
A0A0R0H8T0,3,760684402.0,462682514.0,-0.7172754459157585
A0A0R0H9B2,1,458894856.6,359979045.8,-0.35025070633701616
A0A0R0H9B2,2,423108578.8,863064684.5,1.0284407522097472
A0A0R0H9B2,3,625512874.0,1021420760.2,0.7074658043348027
A0A0R0H9T5,1,6914421300.5,19088198936.0,1.4650005680968667
A0A0R0H9T5,2,6299915915.559999,17997016827.0,1.5143533079192908
A0A0R0H9T5,3,6640476016.0,18681488756.0,1.4922508616029575
A0A0R0HC18,1,2488738423.3,1482866389.6,-0.7470259922731498
A0A0R0HC18,2,2924467551.5,1117784702.3,-1.387531645796701
A0A0R0HC18,3,2452241332.74,1288679429.0,-0.9282075416338035
A0A0R0HCG5,1,1096801417.0,2154616200.0,0.974128566022443
A0A0R0HCG5,2,1396223216.98,2142371556.0,0.6176791049105415
A0A0R0HCG5,3,1363629164.0,2075894748.0,0.6062819381308955
A0A0R0HCH3,1,2232311093.6,1674884846.4,-0.414476185175937
A0A0R0HCH3,2,2113217882.0,2195326102.94,0.054993736540699535
A0A0R0HCH3,3,2074187354.5,2013130060.0,-0.043105832094901576
A0A0R0HDA3,1,1077239096.5,668226153.0,-0.6889301429706384
A0A0R0HDA3,2,1009095350.23,995658580.0,-0.019339482787409715
A0A0R0HDA3,3,1043476729.4,598509724.0,-0.8019518353108679
A0A0R0HDX9,1,635812586.5,845757562.0,0.4116425951072382
A0A0R0HDX9,2,551945046.5,610828458.5,0.14624264427089234
A0A0R0HDX9,3,511415705.0,643540209.5,0.3315338285328383
A0A0R0HFK6,1,899809114.0,971693883.0,0.11088290705785381
A0A0R0HFK6,2,1213415470.1599998,695941134.6,-0.8020364223016943
A0A0R0HFK6,3,989261171.44,936882245.0,-0.07848372262501846
A0A0R0HFW6,1,529158399.1,719085637.0,0.4424639480672501
A0A0R0HFW6,2,494494069.2,748922489.0,0.5988631943702202
A0A0R0HFW6,3,501802666.2,563851883.8,0.1681960999214966
A0A0R0HHA9,1,367740046.0,673904682.0,0.8738582579864201
A0A0R0HHA9,2,531123566.0,536727327.8,0.015141802322443833
A0A0R0HHA9,3,281996369.0,560771080.0,0.9917353622931234
A0A0R0HHB6,1,1902904858.0,1603864698.0,-0.24665098992593384
A0A0R0HHB6,2,2512753714.5,1457483720.0,-0.7857895048692014
A0A0R0HHB6,3,2830427653.8,1785998254.0,-0.6642893785317894
A0A0R0HHJ1,1,289772460.0,312354520.0,0.10826391936754846
A0A0R0HHJ1,2,156294906.0,255025240.0,0.7063692800875526
A0A0R0HHJ1,3,182628050.0,328649290.0,0.8476405011969514
A0A0R0HJA5,1,951877928.0,1081618004.5,0.18434259739818992
A0A0R0HJA5,2,912953088.5,908197670.0,-0.007534394665871294
A0A0R0HJA5,3,1033297826.0,1003526245.0,-0.042177792454360215
A0A0R0HKE3,1,716855272.3,847196268.9,0.2410143566107802
A0A0R0HKE3,2,1144971824.24,1010760418.7,-0.17987102187483325
A0A0R0HKE3,3,981860421.5,969328188.8,-0.01853274306809323
A0A0R0HLZ4,1,362803776.9,518777570.0,0.5159266293573623
A0A0R0HLZ4,2,250687803.0,418451358.0,0.7391681246746389
